title,BoW
Sweeney Todd: The Demon Barber of Fleet Street,movie timburton johnnydepp helenabonhamcarter alanrickman timothyspall sachabaroncohen jamiecampbellbower lauramichellekelly jaynewisener edsanders dramas horrormovies music&musicals london toast tracks enlisting baker whose meat pies become vengeful murderer covers falsely imprisoned help
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,movie michaelpressman paigeturco davidwarner markcaso michelansisti leiftilden kennscott kevinclash erniereyesjr. françoischau kevinnash children&familymovies comedies ooze creates dangerous mutants obtains evil shredder decides ninja turtles toxic junk power gives
Teenage Mutant Ninja Turtles: The Movie,movie stevebarron judithhoag eliaskoteas joshpais michelansisti leiftilden davidforman michaelturney jaypatterson raymondserra jamessaito kevinclash action&adventure comedies exposure strange glowing ooze sewers find fight crime wherever ninjas four mutant turtles train
Terminator 3: Rise of the Machines,movie jonathanmostow arnoldschwarzenegger nickstahl clairedanes kristannaloken davidandrews markfamiglietti earlboen moirasinise chopperbernet christopherlawford action&adventure sci-fi&fantasy judgment day john connor saved earth x robotic assassin ordered 1000 started ten years encounters finish
Terminator Salvation,movie mcg christianbale samworthington moonbloodgood helenabonhamcarter antonyelchin jadagrace brycedallashoward common janealexander michaelironside action&adventure sci-fi&fantasy humans apocalyptic 2018 grown resistance post increasingly dominating militaristic robots john connor must lead
The Amityville Horror,movie andrewdouglas ryanreynolds melissageorge chloëgracemoretz jessejames jimmybennett rachelnichols philipbakerhall isabelconner brendandonaldson annabelarmour horrormovies legacy whose new home gory past ordeal demons 1979 horror hit depicts raising remake lutz family hair
The Bride of Habaek,tvshow  shinsae-kyeong namjoo-hyuk limju-hwan krystaljung gongmyoung leegyoung-young yangdong-geun internationaltvshows koreantvshows romantictvshows quest divine stones serve water god habaek seeks help psychiatrist predestined human world goes awry
The Circle,tvshow  michellebuteau realitytv competition show 100 befriend way toward status social experiment strategy collide 000 catfish online players flirt
The Craft,movie andrewfleming robintunney fairuzabalk nevecampbell racheltrue skeetulrich christinetaylor breckinmeyer nathanielmarston cliffdeyoung assumptaserna horrormovies thrillers clique even wield powers new girl falls teen witches anyone parents crosses catholic school
The Crying Game,movie neiljordan stephenrea mirandarichardson forestwhitaker jayedavidson adriandunbar breffinimckenna joesavino birdiesweeney andreebernard jimbroadbent classicmovies independentmovies thrillers love prisoner girlfriend ira terrorist fergus bonds dil jody later falls tells
The Dukes of Hazzard,movie jaychandrasekhar johnnyknoxville seannwilliamscott jessicasimpson burtreynolds m.c.gainey davidkoechner kevinheffernan jamesroday michaelroof joedonbaker action&adventure comedies tv series following bo duke boys tear around hazzard county luke comedy based trusty dodge charger back
The Dukes of Hazzard: The Beginning,movie robertberlinger randywayne jonathanbennett joeldavidmoore willienelson aprilscott harlandwilliams christophermcdonald halwilliams sherilynfenn garycole action&adventure comedies cousin daisy live bo mischievous duke boys uncle jesse popular tv series luke sent prequel movie
The Final Destination,movie davidr.ellis bobbycampo shantelvansanten nickzano haleywebb mykeltiwilliamson kristaallen andrewfiscella justinwelborn stephaniehonoré horrormovies nick cheated death grisly premonition soon realizes fate plans bannon thinks keeps becoming reality
The Invention of Lying,movie rickygervais matthewrobinson rickygervais jennifergarner jonahhill louisc.k. jeffreytambor fionnulaflanagan roblowe tinafey donnasorbello stephaniemarch comedies romanticmovies girl true world screenwriter gains fame saying things one fibs dreams – fortune maybe
The Lord of the Rings: The Return of the King,movie peterjackson elijahwood ianmckellen livtyler viggomortensen seanastin cateblanchett johnrhys-davies bernardhill billyboyd dominicmonaghan orlandobloom hugoweaving action&adventure sci-fi&fantasy members save gondor broken fellowship struggle ancient kings revealed gandalf aragorn heir
The Lord of the Rings: The Two Towers,movie peterjackson elijahwood ianmckellen livtyler viggomortensen seanastin cateblanchett johnrhys-davies bernardhill christopherlee billyboyd dominicmonaghan orlandobloom action&adventure sci-fi&fantasy captured merry mordor one ring legolas aragorn search frodo gimli pippin destroy sam head power orc
The Mask of Zorro,movie martincampbell antoniobanderas anthonyhopkins catherinezeta-jones stuartwilson mattletscher tonyamendola pedroarmendárizjr. williammarquez josépérez victorrivers action&adventure romanticmovies torch aging zorro passes discipline sword take training young successor crooked officials schooling
The Naked Gun 2 1/2: The Smell of Fear,movie davidzucker leslienielsen priscillapresley georgekennedy o.j.simpson robertgoulet richardgriffiths jacquelinebrookes comedies big boys intend suppress technology bumbling cop frank drebin business energy industry would put foil
The Naked Gun: From the Files of Police Squad!,movie davidzucker leslienielsen priscillapresley ricardomontalban georgekennedy o.j.simpson susanbeaubian nancymarchand rayebirk comedies cultmovies solves hapless cop frank drebin causes slapstick comedy classic problems stop plot trying kill queen elizabeth ii
The Natural,movie barrylevinson robertredford robertduvall glennclose kimbasinger wilfordbrimley barbarahershey robertprosky richardfarnsworth joedonbaker johnfinnegan classicmovies dramas sportsmovies taken cellar dwelling team get back game old rookie startling turns becomes helps gifted baseball player whose life year 35
The Original Kings of Comedy,movie spikelee steveharvey d.l.hughley cedrictheentertainer berniemac stand-upcomedy director spike lee documents hit comedy tour featuring comics steve harvey l cedric bernie mac hughley entertainer last night
The Peacemaker,movie mimileder georgeclooney nicolekidman marceliures aleksandrbaluev renemedvesek garywerntz randallbatinkoff jimhaynie alexanderstrobele holtmccallany action&adventure u terrorists trigger special forces intelligence agent nuclear blast rescue weapons expert come russia
The Ring,movie goreverbinski naomiwatts martinhenderson daviddorfman briancox janealexander lindsayfrost ambertamblyn rachaelbella daveighchase shannoncochran horrormovies thrillers viewer supposedly sets seven days death mystery video unravel time motion reporter watches
The Talented Mr. Ripley,movie anthonyminghella mattdamon gwynethpaltrow judelaw cateblanchett philipseymourhoffman jackdavenport jamesrebhorn sergiorubini philipbakerhall celiaweston dramas thrillers stop embraces hold onto young heir charming sociopath maneuvers lush life nothing posh lifestyle
Tremors,movie ronunderwood kevinbacon fredward finncarter michaelgross rebamcentire robertjayne charlottestewart tonygenaro arianarichards richardmarcus victorwong bibibesch comedies cultmovies horrormovies equipment suck handymen discover 30 prey underground seismologist gets unusual readings long carnivorous worms foot
Tremors 2: Aftershocks,movie s.s.wilson fredward chrisgartin helenshaver michaelgross marcelotubert marcohernandez joséramónrosario thomasrosalesjr. comedies horrormovies sci-fi&fantasy mexico oil fields rag tag team way worming survivalists scientists battle supersucking desert creatures
Tremors 3: Back to Perfection,movie brentmaddock michaelgross shawnchristian susanchuang charlottestewart arianarichards tonygenaro barrylivingston johnpappas jasonhopkins comedies horrormovies sci-fi&fantasy eating graboids battle theme park burt gummer flesh simulated giant worm attacks turn real two young entrepreneurs team
Tremors 4: The Legend Begins,movie s.s.wilson michaelgross sarabotsford billydrago brentroam augustschellenberg j.e.freeman minglo lydialook samly neilkopit comedies horrormovies sci-fi&fantasy mysterious deaths sealed abandoned mining town attempt residents series get bottom fates recent
Tremors 5:  Bloodline,movie donmichaelpaul michaelgross jamiekennedy ernestndhlovu lawrencejoffe zakhendrikz nataliebecker emmanuelcastis brandonauret danieljanks comedies horrormovies sci-fi&fantasy survivalist burt gummer brings along deadly creature terrorizing south africa new tech hired savvy partner capture
True Grit,movie henryhathaway johnwayne glencampbell kimdarby jeremyslate robertduvall dennishopper alfredryder strothermartin jeffcorey classicmovies dramas hired hand crusty lawman rooster cogburn murdered teenage tomboy mattie ross enlists help track father
Up in the Air,movie jasonreitman georgeclooney verafarmiga annakendrick jasonbateman amymorton melanielynskey j.k.simmons samelliott dannymcbride zachgalifianakis chrislowell comedies dramas romanticmovies savors ryan bingham flies around faces losing companies job behalf country firing employees recent college grad natalie
What Lies Beneath,movie robertzemeckis harrisonford michellepfeiffer dianascarwid joemorton jamesremar mirandaotto wendycrewson raybaker micolemercurio ambervalletta sloaneshelton horrormovies thrillers seeing spooky images telling head husband tries claire spencer starts hearing ghostly voices reassure
Wild Wild West,movie barrysonnenfeld willsmith kevinkline kennethbranagh salmahayek m.emmetwalsh tedlevine frederiquevanderwal musettavander sofiaeng bailing action&adventure comedies sci-fi&fantasy notch government agents armed tracking two top tasked ingenious arsenal futuristic western diabolical scientist
Willy Wonka & the Chocolate Factory,movie melstuart genewilder jackalbertson peterostrum roykinnear juliedawncole leonardstone denisenickerson dododenney paristhemmen ursulareit children&familymovies classicmovies comedies candy bars stir announces admit holders golden tickets hidden inside secret confectionary zany willy wonka causes
Wyatt Earp,movie lawrencekasdan kevincostner dennisquaid genehackman davidandrews lindenashby jefffahey joannagoing markharmon michaelmadsen catherineo'hara billpullman isabellarossellini tomsizemore action&adventure gang culminating ok corral continually renegade cowboys outlaws legendary lawman wyatt earp odds fiery showdown
Yes Man,movie peytonreed jimcarrey zooeydeschanel bradleycooper johnmichaelhiggins rhysdarby dannymasterson fionnulaflanagan terencestamp sashaalexander mollysims comedies romanticmovies everything comes urges bitter divorce self bank drone falls way say yes sway year help guru
A Perfect Ending,movie nicoleconn barbaraniven jessicaclark johnheard morganfairchild kerryknuppe imeldacorcoran maryjanewells rebeccastaab michaeladamhamilton bryanjackson bryanmordechaijackson dramas independentmovies lgbtqmovies unusual secret explore repressed wife – prompted friends decides sexuality confessing high priced call girl
